place,title,time,pay,date
경기 안산시, 생각대로 안산9지사,00:00~24:00,"건별3,200",4분전
대구 달성군, 생각대로 현풍지부,00:00~24:00,"건별3,300",10분전
충남 천안시, 생각대로 천안지부,10:00~24:00,"건별3,300",14분전
충남 천안시, 생각대로 천안지부,10:00~24:00,"건별3,300",14분전
충남 천안시, 생각대로 천안지부,10:00~24:00,"건별3,300",14분전
경남 창원시, 생각대로 중리점,10:00~01:30,"일급150,000",15분전
서울 강북구, 생각대로 강북A점,시간협의,"시급15,000",15분전
서울 강북구, 생각대로 강북A점,시간협의,"시급15,000",16분전
서울 강북구, 생각대로 강북A점,시간협의,"시급15,000",16분전
부산 동래구, 생각대로 명륜동래점,09:00~02:00,"건별3,500",18분전
부산 동래구, 생각대로 명륜동래점,09:00~02:00,"건별3,500",18분전
부산 동래구, 생각대로 명륜동래점,09:00~02:00,"건별3,500",18분전
울산 전체, 생각대로 화봉점,10:00~02:00,"건별3,000",19분전
경기 화성시, 생각대로 남동탄3지사,시간협의,"일급200,000",19분전
경남 창원시, 생각대로 북면지점,11:00~23:00,"건별3,500",19분전
경북 포항시, 생각대로 효자지부,10:30~10:30,"월급3,500,000",32분전
경북 포항시, 생각대로 효자지부,10:30~10:30,"월급3,500,000",32분전
경북 포항시, 생각대로 효자지부,10:30~10:30,"월급3,500,000",32분전
경기 화성시, 생각대로 남동탄3지사,시간협의,"일급200,000",33분전
경기 광명시, 생각대로 광명지사,10:30~01:00,"건별3,800",33분전
충남 천안시, 생각대로 천안차암.음봉,시간협의,"건별3,000",35분전
서울 영등포, 생각대로 여의도지사,시간협의,"건별3,720",37분전
서울 영등포, 생각대로 여의도지사,시간협의,"건별3,720",37분전
인천 부평구, 생각대로 부평지사,00:00~24:00,"일급200,000",42분전
부산 기장군, 생각대로 준혁정관1호점,08:00~02:00,"건별3,000",43분전
부산 기장군, 생각대로 준혁정관1호점,08:00~02:00,"건별3,000",43분전
부산 기장군, 생각대로 준혁정관1호점,08:00~02:00,"건별3,000",43분전
부산 사하구, 생각대로 사하6호점,  :  ~  :  ,"건별3,000",43분전
부산 사하구, 생각대로 사하6호점,  :  ~  :  ,"건별3,000",43분전
부산 사하구, 생각대로 사하6호점,  :  ~  :  ,"건별3,000",43분전
부산 연제구, 생각대로 망미점,10:00~02:00,"건별3,300",43분전
부산 연제구, 생각대로 망미점,10:00~02:00,"건별3,300",43분전
부산 연제구, 생각대로 망미점,10:00~02:00,"건별3,300",43분전
경기 안양시, 생각대로 안양학원가점,시간협의,"건별3,300",43분전
부산 동래구, 생각대로 사직1호점,10:00~02:00,"건별3,000",43분전
부산 동래구, 생각대로 사직1호점,10:00~02:00,"건별3,000",43분전
부산 동래구, 생각대로 사직1호점,10:00~02:00,"건별3,000",43분전
경기 안양시, 생각대로 안양학원가점,시간협의,"건별3,300",43분전
부산 북구, 생각대로 덕천1호점 라이더 스테이션,11:00~03:00,"건별3,000",44분전
부산 북구, 생각대로 덕천1호점 라이더스테이션,11:00~03:00,"건별3,000",44분전
부산 북구, 생각대로 덕천1호점 라이더 스테이션,11:00~03:00,"건별3,000",44분전
부산 연제구, 생각대로 연제토곡점,10:00~02:00,"건별3,000",44분전
부산 연제구, 생각대로 연제토곡점,10:00~02:00,"건별3,000",44분전
부산 연제구, 생각대로 연제토곡점,10:00~02:00,"건별3,000",44분전
부산 기장군, 생각대로 준혁기장점,11:00~02:00,"건별3,000",45분전
부산 기장군, 생각대로 준혁기장점,11:00~02:00,"건별3,000",45분전
부산 기장군, 생각대로 준혁기장점,11:00~02:00,"건별3,000",45분전
경남 김해시, 생각대로 식스콜동김해,10:00~02:00,"일급150,000",47분전
경남 김해시, 생각대로 식스콜동김해,10:00~02:00,"건별3,500",47분전
경남 김해시, 생각대로 식스콜동김해,10:00~02:00,"일급150,000",47분전
