place,title,time,pay,date
경기 김포시, 현대프리미엄아울렛 김포점,12:00~21:30,"시급8,800",1시간전
서울 강동구, 현대백화점 천호점,10:00~19:00,"시급8,800",1시간전
대구 중구, 현대백화점,10:00~19:30,"시급8,800",2시간전
서울 영등포, 더현대서울,10:00~19:30,"시급8,800",3시간전
서울 송파구, 현대백화점 현대시티몰 가든파이브점,10:00~19:00,"시급9,000",3시간전
서울 강동구, 현대백화점 천호점,07:00~09:00,"시급8,800",4시간전
서울 영등포, 더현대서울,시간협의,"시급8,800",5시간전
서울 영등포, 더현대서울,08:30~17:30,"시급8,800",13시간전
서울 강남구, 한무쇼핑(주),10:00~19:30,"시급8,800",17시간전
서울 송파구, 현대백화점 현대시티몰 가든파이브점,10:00~19:00,"시급9,000",18시간전
서울 영등포, 더현대서울,10:00~19:00,"시급8,800",01/31
서울 양천구, 한무쇼핑(주),10:00~19:00,"시급8,800",01/29
서울 송파구, 현대백화점 현대시티몰 가든파이브점,10:00~19:00,"시급9,000",01/26
대전 전체, 현대백화점 현대프리미엄아울렛 대전점,10:00~19:30,"시급8,800",01/25
