place,title,time,pay,date
경기 포천시, CU 포천무봉로점,08:00~15:00,"시급8,720",7분전
경기 하남시, CU 하남미사본점,22:00~08:00,"시급8,720",7분전
경기 남양주, CU 다산역점,22:00~08:00,"시급8,720",8분전
대구 서구, CU 내당점,15:30~22:30,"시급8,720",9분전
서울 강북구, CU 수유삼양점,10:00~16:00,"시급8,720",9분전
강원 원주시, CU 원주반도유보라점,20:00~08:00,"시급8,720",11분전
경기 화성시, CU 봉담베스트점,15:00~23:00,"시급8,720",11분전
서울 중랑구, CU 중랑망우로점,17:00~24:00,"시급8,720",12분전
전남 목포시, CU 목포용해골드점,18:00~22:00,"시급8,720",12분전
경기 하남시, CU 하남미사본점,22:00~08:00,"시급8,720",12분전
서울 성동구, CU 송정건영점,22:00~08:00,"시급8,720",13분전
경기 광주시, CU 곤지암점,시간협의,"시급8,720",13분전
경기 화성시, CU 봉담유리점,22:00~08:00,"시급8,720",13분전
경기 광주시, CU 곤지암점,시간협의,"시급8,720",13분전
경기 광주시, CU 곤지암점,시간협의,"시급8,720",14분전
울산 중구, CU 울산해피점,23:00~06:00,"시급8,720",16분전
서울 강서구, CU 가양미르웰점,07:00~15:00,"시급8,720",18분전
부산 사하구, CU 하단지하철역점,18:00~24:00,"시급8,720",18분전
서울 중랑구, CU 상봉점,17:00~22:00,"시급8,720",19분전
인천 동구, CU 송현하늘점,15:00~22:00,"시급8,720",20분전
전남 화순군, CU 도곡일등점,06:00~15:00,"시급8,720",22분전
충남 천안시, CU 원성센터점,20:00~24:00,"시급8,720",23분전
경북 포항시, CU 포항학천점,11:00~15:00,"시급8,720",24분전
경기 김포시, CU 한강센터점,23:00~06:00,"시급8,720",24분전
서울 영등포, CU 문래남부점,16:00~23:00,"시급8,720",24분전
경기 부천시, CU 원종소망점,21:00~07:00,"시급8,720",24분전
서울 강남구, CU 압구정미성점,22:00~08:00,"시급9,000",25분전
충남 아산시, CU 배방삼성점,07:00~19:00,"시급8,720",25분전
경남 진주시, CU 진주상대현대점,16:00~23:00,"시급8,720",25분전
경기 군포시, CU 군포흥진점,19:00~23:00,"시급8,720",27분전
경기 용인시, CU 기흥죽현마을점,20:00~24:00,"시급8,720",27분전
경기 군포시, CU 군포흥진점,19:00~23:00,"시급8,720",27분전
경기 화성시, CU 동탄쉐르빌점,07:00~14:00,"시급8,720",28분전
부산 서구, CU 서구충무점,01:00~09:00,"시급8,720",28분전
서울 강북구, CU 미아에이스점,15:00~24:00,"시급8,720",28분전
경기 화성시, CU 동탄쉐르빌점,07:00~14:00,"시급8,720",29분전
부산 금정구, CU 선두구동점,23:00~08:00,"시급8,720",30분전
부산 금정구, CU 선두구동점,23:00~08:00,"시급8,720",30분전
대구 중구, CU 대구228공원점,22:00~08:00,"시급8,720",30분전
부산 금정구, CU 선두구동점,23:00~08:00,"시급8,720",31분전
경남 창원시, 에이치베이컴퍼니,시간협의,"월급1,700,000",31분전
부산 서구, CU 서구충무점,01:00~09:00,"시급8,720",31분전
경기 광주시, CU 곤지암중앙점,09:00~16:00,"시급8,720",32분전
전남 순천시, CU 순천에코점,18:00~23:00,"시급8,720",32분전
경기 평택시, CU 평택고덕행복점,21:30~07:30,"시급8,720",32분전
경기 의정부, CU 의정민락타운점,22:00~08:00,"시급8,720",32분전
경기 평택시, CU 평택고덕국제점,21:30~07:30,"시급8,720",33분전
서울 강서구, CU 송정공항점,00:00~07:00,"시급8,720",33분전
충북 청주시, CU 청주사직캐슬점,22:00~07:00,"시급8,720",35분전
서울 광진구, CU 능동사거리점,23:00~08:00,"시급9,000",36분전
