place,title,time,pay,date
경기 김포시, GS수퍼마켓 김포풍무점,17:00~13:00,"시급8,720",35분전
경기 김포시, GS수퍼마켓 김포풍무점,17:00~13:00,"시급8,720",36분전
경기 김포시, GS수퍼마켓 김포풍무점,09:00~13:00,"시급8,720",38분전
경기 김포시, GS수퍼마켓 김포풍무점,17:00~13:00,"시급8,720",40분전
경기 김포시, GS수퍼마켓 김포풍무점,19:00~23:00,"시급8,720",41분전
경기 수원시, GS수퍼마켓 수원매현점,시간협의,"시급8,720",43분전
서울 강서구, GS수퍼마켓 마곡점F1,09:00~04:00,"시급8,720",59분전
서울 강서구, GS수퍼마켓 마곡점F1,09:00~16:00,"시급8,720",1시간전
경남 창원시, GS수퍼마켓 창원유니시티점,09:00~14:00,"시급8,720",1시간전
충북 청주시, GS수퍼마켓 청주센트럴자이점,시간협의,"시급8,720",1시간전
경기 용인시, GS수퍼마켓 용인신봉점,09:00~16:30,"월급2,000,000",1시간전
인천 서구, GS수퍼마켓 인천당하점,시간협의,"시급8,720",2시간전
경기 평택시, GS수퍼마켓 평택동삭2점,08:00~14:00,"시급8,720",2시간전
서울 강남구, GS수퍼마켓 강남대치점,08:30~16:30,"시급8,720",2시간전
경기 안양시, GS수퍼마켓 안양석수점,17:30~23:00,"시급8,720",2시간전
서울 전체, GS수퍼마켓 길음뉴타운점,08:00~15:00,"시급8,720",2시간전
충북 충주시, GS수퍼마켓 충주연수점,14:00~23:00,"시급8,720",2시간전
경남 김해시, GS수퍼마켓 장유삼문점,19:00~23:00,"시급8,720",2시간전
경남 김해시, GS수퍼마켓 장유삼문점,19:00~23:00,"시급8,720",2시간전
울산 남구, GS수퍼마켓 울산신정점,19:00~22:00,"시급8,720",2시간전
경북 예천군, GS수퍼마켓 도청호명점,시간협의,"시급8,720",3시간전
충남 천안시, GS수퍼마켓 천안불당시티점,16:00~23:00,"시급8,720",3시간전
경기 군포시, GS수퍼마켓 군포당동점,17:00~23:00,"시급8,720",4시간전
세종 아름동, GS수퍼마켓 세종아름점,17:00~23:00,"시급8,720",5시간전
인천 서구, GS수퍼마켓 GS수퍼마켓 청라한울점,16:00~23:00,"시급8,720",5시간전
부산 북구, GS수퍼마켓 화명점,시간협의,"시급8,720",5시간전
경기 용인시, GS수퍼마켓 용인보라점S,시간협의,"시급8,720",5시간전
경기 구리시, GS수퍼마켓 갈매중앙점,17:00~23:00,"시급8,720",9시간전
충북 청주시, GS수퍼마켓 청주오창점,09:00~15:30,"시급8,720",10시간전
충북 청주시, GS수퍼마켓 청주오창점,시간협의,"월급2,800,000",10시간전
서울 성북구, GS수퍼마켓 길음뉴타운점,08:00~15:00,"시급8,720",10시간전
충북 청주시, GS수퍼마켓 청주오창점,08:00~16:00,"시급8,720",10시간전
충북 청주시, GS수퍼마켓 청주오창점,시간협의,"월급3,500,000",10시간전
경기 안성시, GS수퍼마켓 안성점,08:00~17:00,"시급8,720",11시간전
서울 전체, GS수퍼마켓 서초점,16:00~23:00,"시급8,720",13시간전
서울 전체, GS수퍼마켓 서초점,16:00~23:00,"시급8,720",13시간전
서울 전체, GS수퍼마켓 서초점,16:00~23:00,"시급8,720",13시간전
부산 북구, GS수퍼마켓 구포점,09:00~23:00,"시급8,720",14시간전
충남 아산시, GS수퍼마켓 아산둔포점,09:00~16:00,"시급9,000",18시간전
부산 강서구, GS수퍼마켓 명지신도시점,17:30~19:30,"시급8,720",18시간전
충남 아산시, GS수퍼마켓 아산둔포점,17:00~23:00,"시급9,000",01/31
서울 송파구, GS수퍼마켓 GS수퍼마켓 송파2점,09:00~11:00,"시급8,720",01/31
부산 부산진, GS수퍼마켓 부암점,09:00~14:00,"시급8,720",01/30
경남 양산시, GS수퍼마켓 양산가촌점,16:00~23:00,"시급8,720",01/29
경기 성남시, GS수퍼마켓 분당정자점,15:00~23:00,"시급8,720",01/29
부산 북구, GS수퍼마켓 화명점,시간협의,"시급8,720",01/29
경기 수원시, GS수퍼마켓 수원매현점,16:00~23:00,"시급8,720",01/29
경기 포천시, GS수퍼마켓 포천점,14:00~23:00,"시급8,720",01/26
서울 송파구, GS수퍼마켓 송파위례점,16:00~22:00,"시급8,720",01/26
경기 김포시, GS수퍼마켓 김포사우점,16:00~23:00,"시급8,720",01/25
