place,title,time,pay,date
경남 양산시, 노브랜드 양산물금점,08:00~22:30,"시급9,990",5분전
경기 남양주, (주)이마트 노브랜드 다산점,09:30~22:30,"시급9,990",13분전
경기 평택시, (주)이마트,08:00~21:30,"시급9,700",16분전
경기 고양시, (주)이마트 노브랜드 고양도내점,09:00~22:00,"시급9,700",28분전
경기 남양주, (주)이마트,11:00~22:30,"시급9,990",33분전
경기 남양주, (주)이마트,11:00~22:30,"시급9,990",40분전
경기 수원시, (주)이마트 노브랜드 수원천천점,08:00~22:00,"시급9,990",49분전
전남 나주시, (주)이마트,08:00~22:00,"시급9,990",58분전
서울 강남구, (주)이마트,08:00~22:00,"시급9,990",1시간전
경기 성남시, 노브랜드 판교운중점,09:00~22:00,"시급9,990",1시간전
대전 서구, (주)이마트(노브랜드 대전가수원점),09:00~22:30,"시급9,990",2시간전
경남 통영시, (주)이마트,시간협의,"시급9,700",2시간전
경기 시흥시, 노브랜드 시흥목감점,08:00~22:00,"시급9,700",2시간전
서울 강남구, (주)이마트,08:00~22:00,"시급9,990",2시간전
전남 나주시, (주)이마트,08:00~22:00,"시급9,990",2시간전
경기 고양시, (주)이마트 노브랜드 고양도내점,09:00~22:00,"시급9,700",2시간전
부산 기장군, (주)이마트(노브랜드 부산아울렛점),09:00~21:30,"시급9,700",2시간전
경기 하남시, [이마트]스타필드하남 No Brand,09:00~23:00,"시급9,700",2시간전
전남 나주시, (주)이마트,08:00~22:00,"시급9,990",2시간전
경기 용인시, 노브랜드 용인신봉점,09:00~17:00,"시급9,700",2시간전
서울 노원구, (주)이마트,09:00~22:00,"시급9,700",2시간전
대전 전체, (주)이마트,11:00~22:00,"시급9,990",3시간전
경기 하남시, [이마트]스타필드하남 No Brand,09:00~23:00,"시급9,700",3시간전
전남 나주시, (주)이마트,08:00~22:00,"시급9,990",3시간전
경기 성남시, 노브랜드 판교운중점,09:00~22:00,"시급9,990",3시간전
서울 강남구, (주)이마트,08:00~22:00,"시급9,990",3시간전
서울 영등포, (주)이마트 노브랜드 영등포양평점,08:00~22:30,"시급9,700",3시간전
경기 구리시, 노브랜드 구리갈매점,08:00~22:00,"시급9,990",3시간전
경기 남양주, (주)이마트,11:00~22:30,"시급9,990",4시간전
충남 천안시, (주)이마트,09:30~21:30,"시급9,990",4시간전
경기 의왕시, (주)이마트,09:00~22:00,"시급9,990",5시간전
경기 용인시, 노브랜드 용인신봉점,09:00~17:00,"시급9,700",11시간전
경기 시흥시, 노브랜드 시흥목감점,08:00~22:00,"시급9,700",12시간전
대전 중구, (주)이마트(노브랜드 대전세이백화점),08:00~21:00,"시급9,990",13시간전
경남 양산시, (주)이마트,08:00~22:30,"시급9,990",14시간전
경기 오산시, 노브랜드 오산금암점,09:00~17:00,"시급9,700",14시간전
충남 아산시, (주)이마트,09:30~21:30,"시급9,990",16시간전
경남 통영시, (주)이마트,시간협의,"시급9,700",16시간전
경북 예천군, (주)이마트 노브랜드,09:00~17:00,"시급9,990",22시간전
경기 용인시, (주)이마트,09:00~17:00,"시급9,700",01/31
경기 평택시, (주)이마트,10:30~22:00,"시급9,990",01/31
경기 화성시, (주)이마트 노브랜드 화성진안점,09:00~22:00,"시급9,700",01/31
경기 시흥시, 노브랜드 시흥목감점,08:00~22:00,"시급9,700",01/31
서울 송파구, 노브랜드 송파문정점,09:30~22:30,"시급9,700",01/31
세종 아름동, 노브랜드 세종아름점,08:00~22:00,"시급9,700",01/30
경기 평택시, (주)이마트,08:00~21:30,"시급9,700",01/29
경기 파주시, 노브랜드 파주아울렛점,08:00~21:30,"시급9,700",01/29
경기 평택시, (주)이마트,10:00~22:00,"시급9,700",01/27
충남 아산시, (주)이마트,09:30~21:30,"시급9,700",01/27
경기 화성시, (주)이마트,09:30~21:30,"시급9,700",01/27
