place,title,time,pay,date
충남 공주시, 다이소 공주점,09:00~15:00,"시급8,720",15분전
부산 사상구, 다이소 부산주례역점,09:00~18:00,"월급1,822,480",59분전
부산 사상구, 다이소 부산주례역점,09:00~18:00,"월급1,822,480",1시간전
부산 사상구, 다이소 부산주례역점,09:00~18:00,"월급1,822,480",1시간전
경기 시흥시, 다이소 시흥신천점,09:00~15:00,"시급8,720",1시간전
부산 사하구, 다이소 부산동아대점,09:00~15:00,"시급8,720",1시간전
부산 사하구, 다이소 부산동아대점,09:00~15:00,"시급8,720",1시간전
부산 사하구, 다이소 부산동아대점,09:00~15:00,"시급8,720",1시간전
부산 강서구, 부산명지국제신도시점,09:00~15:00,"시급8,720",1시간전
부산 강서구, 부산명지국제신도시점,09:00~15:00,"시급8,720",1시간전
부산 강서구, 부산명지국제신도시점,09:00~15:00,"시급8,720",1시간전
경남 진주시, 진주혁신도시점,09:00~15:00,"시급8,720",1시간전
서울 광진구, 다이소 화양동점,11:00~17:00,"시급8,720",1시간전
경기 수원시, 다이소 수원인계본점,시간협의,"월급1,822,480",1시간전
경기 고양시, 다이소 행신역점,10:00~16:00,"시급8,720",1시간전
서울 마포구, 다이소 합정동점,07:30~13:30,"시급8,720",1시간전
경기 포천시, 포천본점,08:00~17:00,"월급1,822,480",1시간전
경기 파주시, 다이소 파주운정2호점,15:00~21:00,"시급8,720",1시간전
강원 춘천시, 다이소 춘천소양로점,09:30~22:00,"시급8,720",1시간전
경기 파주시, 다이소 파주운정1호점,15:00~21:00,"시급8,720",1시간전
경기 파주시, 다이소 파주목동동점,07:00~16:00,"월급1,822,480",1시간전
경기 파주시, 다이소 파주교하점,12:30~21:30,"월급1,822,480",1시간전
서울 광진구, 다이소 중곡역점,07:00~16:00,"월급1,822,480",1시간전
경기 고양시, 다이소 주엽점,06:30~15:30,"월급1,822,480",1시간전
경기 고양시, 다이소 일산후곡점,06:30~15:30,"월급1,822,480",1시간전
경기 고양시, 다이소 일산제니스점,14:00~20:00,"시급8,720",1시간전
경기 고양시, 다이소 일산위시티점,08:00~14:00,"시급8,720",1시간전
경기 고양시, 다이소 일산덕이점,07:00~16:00,"월급1,822,480",1시간전
서울 서대문, 다이소 이대역점,16:00~22:00,"시급8,720",1시간전
경기 고양시, 다이소 원마운트몰점,07:00~16:00,"월급1,822,480",1시간전
서울 노원구, 다이소 상계보람점,11:00~17:00,"시급8,720",2시간전
서울 마포구, 다이소 신촌본점,07:00~13:00,"시급9,500",2시간전
경기 고양시, 다이소 스타필드고양점,06:30~15:30,"월급1,822,480",2시간전
경기 양주시, 다이소 송추계곡입구점,16:00~22:00,"시급8,720",2시간전
서울 중랑구, 다이소 망우2호점,08:30~14:30,"시급8,720",2시간전
경기 파주시, 금촌본점,07:00~16:00,"월급1,822,480",2시간전
서울 광진구, 다이소 군자역점,07:00~16:00,"월급1,822,480",2시간전
경기 고양시, 다이소 고양중산점,10:00~16:00,"시급8,720",2시간전
서울 광진구, 다이소 건대 입구점,18:00~21:00,"시급8,720",2시간전
서울 서대문, 다이소 가좌역점,16:00~22:00,"시급8,720",2시간전
제주 제주시, 다이소 제주연동점,16:00~22:00,"시급8,720",2시간전
경북 경산시, 다이소 홈플러스경산점,10:00~16:00,"시급8,720",2시간전
전국 전체, 다이소 직영3현장CS팀,09:30~18:30,"월급2,122,480",2시간전
경북 포항시, 다이소 포항양덕본점,09:00~18:00,"시급8,720",2시간전
경남 양산시, 다이소 양산남부시장점,09:00~15:00,"시급8,720",2시간전
대구 달서구, 다이소 영남현장CS팀,10:00~16:00,"시급8,720",2시간전
경남 양산시, 다이소 영남현장CS팀,08:30~17:30,"월급1,822,480",2시간전
대구 달서구, 다이소 대구죽전네거리점,07:00~16:00,"월급1,822,480",2시간전
대구 달서구, 다이소 대구신당점,09:30~18:30,"월급1,822,480",2시간전
대구 달서구, 다이소 대구서부점,16:00~22:00,"시급8,720",2시간전
