place,title,time,pay,date
서울 송파구, 롯데리아 신천점,06:00~14:00,"시급8,720",2시간전
서울 강남구, 롯데리아 선릉점,01:00~24:00,"시급8,720",2시간전
서울 강남구, 롯데리아 강남우성사거리점,00:00~24:00,"시급8,720",2시간전
서울 강남구, 롯데리아 선릉점,01:00~24:00,"시급8,720",3시간전
서울 성북구, 롯데리아 석관점,시간협의,"월급2,000,000",3시간전
서울 성북구, 롯데리아 석관점,시간협의,"월급2,000,000",3시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"시급8,720",3시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"시급8,720",3시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"시급8,720",3시간전
서울 강동구, 롯데리아 암사역점,22:00~02:00,"시급13,080",4시간전
대구 서구, 롯데리아 북비산점,18:00~24:00,"시급8,720",5시간전
경남 김해시, 롯데리아 김해내외D/I점,시간협의,"시급8,720",6시간전
부산 부산진, 롯데리아 부산점포점,시간협의,"월급2,000,000",6시간전
부산 부산진, 롯데리아 부산점포점,시간협의,"시급8,720",6시간전
인천 중구, 롯데리아 인천공항제2여객터미널3층,00:00~24:00,"시급8,720",6시간전
인천 중구, 롯데리아 인천공항제2여객터미널3층,00:00~24:00,"시급8,720",6시간전
인천 중구, 롯데리아 인천공항제2여객터미널3층,00:00~24:00,"시급8,720",6시간전
인천 중구, 롯데리아 인천공항제2여객터미널3층,00:00~24:00,"시급8,720",6시간전
인천 중구, 롯데리아 인천공항제2여객터미널3층,00:00~24:00,"시급8,720",6시간전
서울 강남구, 롯데리아 강남우성사거리점,00:00~24:00,"시급8,720",6시간전
경기 광주시, 롯데리아 광주태전점,09:00~23:00,"시급8,720",7시간전
전북 군산시, 롯데리아 군산조촌D/T점,12:00~17:00,"시급8,720",8시간전
전북 군산시, 롯데리아 군산조촌D/T점,12:00~17:00,"시급8,720",8시간전
충남 아산시, 롯데리아 아산용화점,17:00~24:00,"시급8,720",8시간전
충남 서산시, 롯데리아 서산해미점,10:30~22:30,"시급8,720",8시간전
충남 서산시, 롯데리아 서산해미점,10:30~22:30,"시급8,720",8시간전
경기 시흥시, 롯데리아 시흥거모점,09:00~23:00,"시급8,720",8시간전
경기 시흥시, 롯데리아 시흥거모점,시간협의,"시급8,720",8시간전
경기 시흥시, 롯데리아 시흥거모점,시간협의,"시급8,720",8시간전
경남 창원시, 롯데리아 마산터미널점,18:00~21:30,"시급8,720",9시간전
서울 서대문, 롯데리아 서대문역점,시간협의,"시급8,720",9시간전
서울 서대문, 롯데리아 서대문역점,시간협의,"시급8,720",9시간전
서울 서대문, 롯데리아 서대문역점,시간협의,"시급8,720",9시간전
서울 서대문, 롯데리아 서대문역점,시간협의,"시급8,720",9시간전
인천 남동구, 롯데리아 인천논현점,17:00~24:00,"시급8,720",9시간전
서울 강동구, 롯데리아 암사역점,22:00~02:00,"시급13,080",9시간전
서울 강남구, 롯데리아 학동역점,시간협의,"시급8,720",10시간전
대구 달서구, 롯데리아 대구상인점,09:00~08:00,"시급8,720",10시간전
서울 은평구, 롯데리아 DMC항동점,시간협의,"시급8,720",10시간전
경남 진주시, 롯데리아 진주초전D/I점,09:00~01:00,"시급8,720",10시간전
경남 진주시, 롯데리아 진주초전D/I점,09:00~01:00,"시급8,720",10시간전
서울 광진구, 롯데리아 구의역점,08:00~17:00,"월급2,000,000",10시간전
경기 수원시, 롯데리아 동수원점,12:00~02:00,"시급8,720",11시간전
경기 수원시, 롯데리아 동수원점,시간협의,"시급8,720",11시간전
서울 동작구, 롯데리아 이수역점,09:00~18:00,"월급2,600,000",11시간전
경기 안성시, 롯데리아 안성중앙점,09:00~21:00,"월급2,600,000",11시간전
경기 안성시, 롯데리아 안성중앙점,09:00~21:00,"월급2,600,000",11시간전
경기 안성시, 롯데리아 안성중앙점,09:00~24:00,"시급8,720",11시간전
서울 동대문, 롯데리아 왕십리역사점,00:30~07:00,"시급8,720",11시간전
서울 성동구, 롯데리아 왕십리역사점,00:30~07:00,"시급8,720",11시간전
