place,title,time,pay,date
경북 경산시, 부릉 경산진량지점,10:00~01:00,"건별3,000",9분전
경북 경산시, 부릉 경산진량지점,10:00~01:00,"건별3,000",9분전
경북 경산시, 부릉 경산진량지점,10:00~01:00,"건별3,000",9분전
경기 평택시, 부릉 평택지산신장지점,09:00~04:00,"건별3,500",11분전
서울 동대문, 부릉 동대문장안지점,00:00~24:00,"건별3,000",19분전
서울 동대문, 부릉 동대문장안지점,00:00~24:00,"건별3,000",40분전
서울 은평구, 부릉 종로교남지점,  :  ~  :  ,"건별3,000",41분전
서울 중구, 부릉 종로교남지점,  :  ~  :  ,"건별3,000",41분전
서울 서대문, 부릉 종로교남지점,  :  ~  :  ,"건별3,000",41분전
서울 강서구, 부릉 강서마곡지점,시간협의,"일급200,000",44분전
서울 강서구, 부릉 강서화곡지점,시간협의,"건별3,200",44분전
경기 평택시, 부릉 평택비전지점,10:00~01:00,"월급5,000,000",53분전
광주 남구, 부릉 광주진월지점,10:00~01:00,"건별2,800",1시간전
부산 부산진, 부릉 부산개금지점,10:00~01:00,"건별3,000",1시간전
부산 부산진, 부릉 부산개금지점,10:00~01:00,"건별3,000",1시간전
부산 부산진, 부릉 부산개금지점,10:00~01:00,"건별3,000",1시간전
경기 광주시, 부릉 광주경안지점,10:00~01:00,"월급5,000,000",1시간전
서울 양천구, 부릉 양천신정지점,10:00~02:00,"월급5,000,000",1시간전
서울 강서구, 부릉 양천신정지점,10:00~02:00,"월급5,000,000",1시간전
경기 구리시, 부릉 구리인창지점,09:00~02:00,"건별3,000",2시간전
경북 경산시, 경산정평지점,11:00~02:00,"일급200,000",2시간전
경남 양산시, 부릉 양산웅상지점,10:00~24:00,"건별3,000",2시간전
대구 달성군, 부릉 대구현풍지점,10:00~02:00,"일급150,000",3시간전
대구 달성군, 부릉 대구현풍지점,10:00~02:00,"일급150,000",3시간전
대구 달성군, 부릉 대구현풍지점,10:00~22:00,"건별3,000",3시간전
부산 부산진, 부릉 부산부전지점,24:00~24:00,"건별3,000",3시간전
부산 부산진, 부릉 부산부전지점,24:00~24:00,"건별3,000",3시간전
부산 부산진, 부릉 부산부전지점,24:00~24:00,"건별3,000",3시간전
인천 서구, 부릉 인천검단지점,09:00~02:00,"일급200,000",3시간전
인천 서구, 부릉 인천검단지점,09:00~02:00,"일급200,000",3시간전
인천 서구, 부릉 인천검단지점,09:00~02:00,"일급200,000",3시간전
부산 해운대, 부릉 부산해운대우동지점,10:00~02:00,"건별3,000",3시간전
부산 해운대, 부릉 부산해운대우동지점,10:00~02:00,"건별3,000",3시간전
부산 해운대, 부릉 부산해운대우동지점,10:00~02:00,"일급150,000",3시간전
인천 서구, 인천서구연희지점,10:00~10:00,"일급200,000",3시간전
인천 서구, 인천서구연희지점,10:00~10:00,"일급200,000",3시간전
인천 서구, 인천서구연희지점,10:00~10:00,"일급200,000",3시간전
부산 연제구, 부릉 부산거제지점,10:00~02:00,"건별3,000",3시간전
부산 연제구, 부릉 부산거제지점,10:00~02:00,"건별3,000",3시간전
부산 동래구, 부릉 부산거제지점,10:00~02:00,"건별3,000",3시간전
충북 청주시, 부릉 청주오창지점,06:30~03:00,"건별3,000",3시간전
부산 동래구, 부릉 부산동래사직지점,11:00~02:00,"건별3,000",3시간전
서울 동작구, 부릉 동작남성지점,10:00~02:00,"건별3,200",3시간전
부산 동래구, 부릉 부산동래사직지점,11:00~02:00,"건별3,000",3시간전
서울 동작구, 부릉 동작남성지점,10:00~02:00,"건별3,200",3시간전
서울 동작구, 부릉 동작남성지점,10:00~02:00,"건별3,200",3시간전
부산 동래구, 부릉 부산동래사직지점,11:00~02:00,"건별3,000",3시간전
경기 평택시, 부릉 평택지산신장지점,10:00~01:30,"월급5,000,000",3시간전
경기 평택시, 부릉 평택지산신장지점,10:00~01:30,"월급5,000,000",3시간전
경기 안양시, 부릉 안양평촌지점,00:00~24:00,"건별3,000",4시간전
