place,title,time,pay,date
전북 익산시, 버거킹 익산영등점,시간협의,"시급8,720",11분전
경기 수원시, 버거킹 송죽SK점,시간협의,"시급8,720",13분전
부산 남구, 버거킹 부산대연GS점,시간협의,"시급8,720",13분전
경기 화성시, 버거킹 화성시청점,11:00~14:30,"시급8,720",19분전
경북 경산시, 버거킹 경산진량DT점,시간협의,"시급8,720",24분전
경기 안산시, 버거킹 안산고잔점,16:30~22:30,"시급8,720",25분전
서울 광진구, 버거킹 군자능동점,00:00~24:00,"시급8,720",41분전
서울 광진구, 버거킹 군자능동점,00:00~24:00,"시급8,720",41분전
경북 포항시, 버거킹 포항철강단지SK점,시간협의,"시급8,720",41분전
서울 광진구, 버거킹 군자능동점,00:00~24:00,"시급8,720",42분전
경북 포항시, 버거킹 포항철강단지SK점,시간협의,"시급8,720",42분전
부산 해운대, 버거킹 부산센텀오일뱅크점,시간협의,"시급8,720",45분전
부산 남구, 버거킹 부산대연GS점,시간협의,"시급8,720",46분전
서울 양천구, 버거킹 목동이마트점,17:00~23:30,"시급8,720",46분전
경기 평택시, 버거킹 평택죽백DT점,08:00~24:00,"시급8,720",52분전
경기 고양시, 버거킹 일산산들SK점,시간협의,"시급8,720",54분전
경기 안산시, 버거킹 안산중앙역점,19:00~24:00,"시급8,720",55분전
광주 광산구, 버거킹 광주수완DT점,시간협의,"시급8,720",57분전
부산 기장군, 버거킹 부산정관DT점,시간협의,"시급8,720",1시간전
부산 기장군, 버거킹 부산정관DT점,시간협의,"시급8,720",1시간전
부산 기장군, 버거킹 부산정관DT점,19:00~23:30,"시급8,720",1시간전
부산 기장군, 버거킹 부산정관DT점,19:00~23:30,"시급8,720",1시간전
경남 김해시, 버거킹 동김해DT점,08:00~24:00,"시급8,720",1시간전
경남 김해시, 버거킹 동김해DT점,08:00~24:00,"시급8,720",1시간전
세종 전체, 버거킹 세종고운점,08:00~24:00,"시급8,720",1시간전
부산 남구, 버거킹 부산대연GS점,시간협의,"시급8,720",1시간전
경기 수원시, 광교아브뉴프랑점,16:00~23:00,"시급8,720",1시간전
경북 김천시, 김천혁신도시점,17:00~23:00,"시급8,720",2시간전
서울 영등포, 버거킹 당산역점,  :  ~  :  ,"시급8,720",2시간전
서울 영등포, 버거킹 당산역점,  :  ~  :  ,"시급8,720",2시간전
서울 영등포, 버거킹 당산역점,  :  ~  :  ,"시급8,720",2시간전
서울 영등포, 버거킹 당산역점,  :  ~  :  ,"시급8,720",2시간전
서울 금천구, 버거킹 가산디지털점,16:00~23:00,"시급8,720",2시간전
서울 금천구, 버거킹 가산디지털점,16:00~23:00,"시급8,720",2시간전
경기 수원시, 광교아브뉴프랑점,09:00~18:00,"시급8,720",2시간전
울산 중구, 울산우정SK점,시간협의,"시급8,720",2시간전
부산 사상구, 버거킹 부산주례점,08:00~14:00,"시급8,720",2시간전
경남 김해시, 버거킹 김해내외점,시간협의,"시급8,720",2시간전
경기 평택시, 버거킹 평택죽백DT점,08:00~24:00,"시급8,720",2시간전
경기 김포시, 버거킹 김포한강GS점,시간협의,"시급8,720",2시간전
전남 광양시, 광양중동점(S),17:00~22:30,"시급8,720",2시간전
경북 구미시, 버거킹 구미신평점(S),18:00~23:00,"시급8,720",2시간전
강원 강릉시, 강릉교동SK점,시간협의,"시급8,720",2시간전
서울 강남구, 버거킹 청담점,08:00~15:00,"시급8,720",2시간전
서울 강남구, 버거킹 청담점,09:30~14:30,"시급8,720",2시간전
서울 영등포, 버거킹 신길점,시간협의,"시급8,720",2시간전
경남 사천시, 버거킹 경남사천점(S),21:00~23:00,"시급8,720",2시간전
서울 영등포, 버거킹 신길점,시간협의,"시급8,720",2시간전
경기 성남시, 버거킹 분당야탑점,21:00~01:00,"시급8,720",2시간전
경기 성남시, 버거킹 분당야탑점,21:00~01:00,"시급8,720",2시간전
