place,title,time,pay,date
서울 전체, 엠즈씨드(주),09:00~12:00,"월급700,000",2분전
경기 김포시, 폴바셋 현대아울렛김포점,08:00~22:00,"시급8,800",33분전
서울 강서구, 폴바셋 현대아울렛김포점,08:00~22:00,"시급8,800",49분전
경기 김포시, 폴바셋 현대아울렛김포점,08:00~22:00,"시급8,800",50분전
서울 강남구, 폴바셋 NC타워삼성점,06:30~22:00,"시급9,000",1시간전
서울 관악구, 폴바셋 롯데백화점관악점,07:00~23:00,"시급9,000",2시간전
서울 강남구, 폴바셋 압구정2호점,08:00~21:00,"시급9,000",2시간전
전북 전주시, 폴바셋 롯데전주점,08:00~09:30,"시급9,000",3시간전
서울 광진구, 폴바셋 더클래식500(건대)점,06:30~22:30,"시급9,000",3시간전
서울 강남구, 폴바셋 롯데강남점,08:00~22:00,"시급9,000",3시간전
경기 용인시, 폴바셋 롯데몰수지점,07:00~23:00,"시급8,720",3시간전
서울 서초구, 폴바셋 강남GT타워점,06:00~23:00,"시급9,000",3시간전
경기 용인시, 폴바셋 신세계백화점경기점,09:30~22:30,"시급9,000",3시간전
서울 관악구, 폴바셋 NC타워삼성점,06:30~22:00,"시급9,000",4시간전
서울 전체, 폴바셋 코리아나호텔점,06:30~22:00,"시급9,000",4시간전
서울 서초구, 폴바셋 롯데강남점,08:00~22:00,"시급9,000",4시간전
서울 영등포, 폴바셋 타임스퀘어점,07:00~23:00,"시급9,000",4시간전
서울 관악구, 폴바셋 롯데백화점관악점,07:00~23:00,"시급9,000",4시간전
울산 전체, 폴 바셋 현대백화점 울산점,07:00~21:30,"시급9,000",4시간전
서울 관악구, 폴바셋 롯데백화점관악점,07:00~23:00,"시급9,000",5시간전
서울 은평구, 폴바셋 롯데몰은평점,12:00~17:30,"시급8,720",11시간전
서울 은평구, 폴바셋 롯데몰은평점,09:00~23:00,"시급9,000",11시간전
서울 강남구, 폴바셋 NC타워삼성점,06:30~22:00,"시급9,000",16시간전
경기 구리시, 폴바셋 현대아울렛남양주점,09:00~23:00,"시급9,000",16시간전
경기 수원시, 폴바셋 광교엘포트점,07:00~23:00,"시급9,000",17시간전
경기 용인시, 폴바셋 신세계백화점경기점,09:30~22:30,"시급9,000",02/01
경기 용인시, 폴바셋 신세계백화점경기점,09:30~22:30,"시급9,000",02/01
서울 서초구, 폴바셋 교대역점,07:00~23:00,"시급9,000",01/31
경기 용인시, 폴바셋 신세계백화점경기점,09:30~22:30,"시급9,000",01/31
서울 전체, 폴바셋 한남커피스테이션,16:30~22:00,"시급9,000",01/31
서울 서초구, 폴바셋 강남GT타워점,06:00~23:00,"시급9,000",01/31
제주 제주시, 폴바셋 제주아라DT점,06:00~24:00,"시급9,000",01/31
부산 해운대, 폴바셋 해운대아이파크점,07:00~23:00,"시급9,000",01/31
경기 용인시, 폴바셋 롯데몰수지점,07:00~23:00,"시급9,000",01/30
서울 송파구, 폴바셋 스타필드시티위례점,09:00~23:00,"시급9,000",01/30
서울 송파구, 폴바셋 스타필드시티위례점,09:00~23:00,"시급9,000",01/30
서울 전체, 폴바셋 롯데월드몰점,07:00~23:00,"시급9,000",01/29
서울 중랑구, 폴바셋 NC타워삼성점,06:30~23:00,"시급9,000",01/29
서울 강동구, 폴바셋 상일동점,06:30~22:00,"시급9,000",01/28
경기 성남시, 폴바셋 스타필드시티위례점,09:00~23:00,"시급9,000",01/27
서울 송파구, 폴바셋 스타필드시티위례점,09:00~23:00,"시급9,000",01/27
