place,title,time,pay,date
경기 안산시, 장원교육 안산서부,10:00~21:00,"월급1,800,000",3시간전
경기 화성시, 장원교육 2동탄,10:00~10:00,"월급1,800,000",4시간전
서울 강남구, 장원교육 서울강남,14:00~21:00,"월급1,800,000",4시간전
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",13시간전
서울 구로구, 장원교육 서울영등포,10:00~20:00,"월급1,900,000",18시간전
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",01/31
서울 송파구, 장원교육 본사 한서연,10:00~20:00,"월급2,000,000",01/31
충북 청주시, 장원교육 청원,14:00~21:00,"월급1,800,000",01/31
경기 의왕시, 장원교육 의왕,12:00~20:00,"월급1,800,000",01/31
경기 안산시, 장원교육 안산서부,10:00~21:00,"월급1,800,000",01/31
경기 안성시, 장원교육 안성,15:00~21:00,"월급2,000,000",01/31
경기 안성시, 장원교육 안성,15:00~21:00,"월급2,000,000",01/31
경기 군포시, 장원교육 군포과천,10:00~21:00,"월급2,000,000",01/31
경기 김포시, 장원교육 김포,10:00~20:00,"월급2,000,000",01/31
대전 대덕구, 장원교육 동대전,10:00~10:00,"월급1,800,000",01/31
인천 전체, 장원교육 인천서구,14:00~21:00,"월급1,500,000",01/31
인천 전체, 장원교육 인천서구,14:00~21:00,"월급1,500,000",01/31
경기 고양시, 장원교육 일산서부,09:30~18:30,"월급2,000,000",01/31
서울 광진구, 장원교육 서울동부,10:00~20:00,"연봉2,000,000",01/31
서울 서초구, 장원교육 서울서초,10:00~20:30,"월급2,000,000",01/29
서울 강남구, 장원교육 서울강남,14:00~21:00,"월급1,800,000",01/29
서울 강남구, 장원교육 서울강남,14:00~21:00,"월급1,800,000",01/29
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",01/26
대구 서구, 장원교육 대구서구,14:00~18:00,"월급2,000,000",01/26
대구 전체, 장원교육 대구서구,15:00~22:00,"월급2,000,000",01/26
대구 전체, 장원교육 대구시지,10:00~21:00,"월급1,500,000",01/26
경기 안양시, 장원교육 안양동안,13:00~21:00,"월급1,800,000",01/26
충북 제천시, 장원교육 제천,16:00~21:00,"월급1,600,000",01/26
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",01/26
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",01/26
대구 전체, 장원교육 수성,13:00~22:00,"월급2,000,000",01/25
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",01/25
서울 강남구, 장원교육 서울강남,14:00~21:00,"월급1,800,000",01/22
서울 서초구, 장원교육 서울서초,10:00~20:30,"월급2,000,000",01/19
