place,title,time,pay,date
광주 광산구, 크리스피크림도넛 광주첨단점,22:00~07:00,"시급8,720",7시간전
경기 김포시, 크리스피크림도넛  메세나폴리스점,09:30~22:00,"시급8,720",8시간전
경기 김포시, 크리스피크림도넛  메세나폴리스점,09:30~22:00,"시급8,720",8시간전
경기 남양주, 크리스피크림도넛  건대스타시티점,09:30~15:30,"시급8,720",9시간전
광주 광산구, 크리스피크림도넛 광주첨단점,07:00~15:00,"시급8,820",10시간전
대전 서구, 크리스피크림도넛 대전둔산점,08:00~15:00,"시급8,720",12시간전
대전 서구, 크리스피크림도넛 대전둔산점,15:00~22:00,"시급8,720",12시간전
서울 구로구, 크리스피크림도넛  오목교점,10:00~21:30,"시급8,720",13시간전
경북 안동시, 크리스피 크림 도넛 대구범어점,15:00~22:00,"시급8,720",13시간전
서울 마포구, 크리스피크림도넛  남영역점,07:00~22:00,"시급8,720",13시간전
대구 수성구, 크리스피 크림 도넛 대구범어점,20:00~04:00,"시급8,820",14시간전
부산 부산진, 크리스피크림도넛  롯데백부산점,14:30~20:30,"시급8,720",15시간전
서울 관악구, 크리스피 크림 도넛 서울대입구역점,16:00~21:00,"시급8,720",15시간전
서울 관악구, 크리스피 크림 도넛 서울대입구역점,13:00~18:00,"시급8,720",15시간전
서울 관악구, 크리스피 크림 도넛 서울대입구역점,13:00~18:00,"시급8,720",15시간전
서울 광진구, 크리스피크림도넛  건대스타시티점,07:00~18:00,"시급8,820",16시간전
부산 동구, 크리스피크림도넛  부산역사점,06:00~12:00,"시급8,720",16시간전
경기 의정부, 크리스피크림도넛 강남역점,10:00~21:00,"시급8,720",18시간전
경기 부천시, 크리스피크림도넛 부천 커미서리,24:00~24:00,"시급8,720",18시간전
서울 광진구, 크리스피크림도넛  건대스타시티점,07:00~18:00,"시급8,820",19시간전
광주 광산구, 크리스피크림도넛 광주첨단점,07:00~15:00,"시급8,820",19시간전
광주 광산구, 크리스피크림도넛 광주첨단점,22:00~07:00,"시급8,720",19시간전
서울 광진구, 크리스피크림도넛  건대스타시티점,07:00~18:00,"시급8,820",01/31
전북 전주시, 크리스피크림도넛  롯데전주점,08:00~15:00,"시급8,720",01/30
서울 광진구, 크리스피크림도넛  건대스타시티점,07:00~18:00,"시급8,820",01/30
경기 의정부, 크리스피크림도넛 강남역점,10:00~21:00,"시급8,720",01/29
경기 이천시, 크리스피크림도넛  롯데이천아울렛점,13:00~21:00,"시급8,720",01/28
서울 강남구, 크리스피크림도넛 강남역점,07:00~15:00,"시급8,720",01/28
경북 포항시, 크리스피크림도넛  롯데포항점,14:30~20:00,"시급8,720",01/19
경기 용인시, 크리스피크림도넛  수원인계점,15:30~22:00,"시급8,720",01/18
