place,title,time,pay,date
경기 안산시, 홈플러스 익스프레스 안산고잔점,18:00~24:00,"시급8,720",38분전
경기 광명시, 홈플러스 익스프레스 소하점,17:00~24:00,"시급8,720",40분전
경기 안산시, 홈플러스 익스프레스 안산고잔점,08:00~15:00,"시급8,720",42분전
인천 부평구, 홈플러스 익스프레스 인천부개역점,시간협의,"시급8,590",2시간전
서울 송파구, 홈플러스 익스프레스 잠실점,18:00~24:00,"시급8,720",2시간전
경기 부천시, 홈플러스 익스프레스 부천중동2점,08:00~14:00,"시급8,720",3시간전
서울 성북구, 홈플러스 익스프레스 길음점,13:00~19:00,"시급8,720",3시간전
인천 연수구, 홈플러스 익스프레스 인천송도점,18:00~24:00,"월급1,365,000",4시간전
서울 서초구, 홈플러스 익스프레스 반포점,12:00~18:00,"월급1,369,040",5시간전
서울 서초구, 홈플러스 익스프레스 반포점,12:00~18:00,"월급1,369,040",5시간전
서울 서초구, 홈플러스 익스프레스 반포점,12:00~18:00,"월급1,369,040",5시간전
서울 서초구, 홈플러스 익스프레스 반포점,12:00~18:00,"월급1,369,040",5시간전
서울 서초구, 홈플러스 익스프레스 반포점,12:00~18:00,"월급1,369,040",5시간전
서울 동작구, 홈플러스 익스프레스 상도점,07:00~13:00,"월급1,369,040",6시간전
서울 동작구, 홈플러스 익스프레스 상도점,07:00~13:00,"월급1,369,040",6시간전
서울 전체, 홈플러스 익스프레스 신길2점,18:00~24:00,"시급8,720",10시간전
서울 성동구, 홈플러스 익스프레스 금호2점,07:00~13:00,"월급1,369,040",01/31
경기 안양시, 홈플러스 익스프레스 안양석수점,08:00~15:00,"시급8,720",01/31
경기 성남시, 홈플러스 익스프레스 푸른마을점,17:00~23:00,"월급1,348,630",01/31
서울 송파구, 홈플러스 익스프레스 삼전역점,18:00~24:00,"시급8,720",01/31
경기 성남시, 홈플러스 익스프레스 푸른마을점,08:00~14:00,"월급1,348,630",01/31
경기 안산시, 홈플러스 익스프레스 안산고잔점,08:00~12:30,"시급8,720",01/31
경기 성남시, 홈플러스 익스프레스 성남금광점,시간협의,"시급8,720",01/31
경기 성남시, 홈플러스 익스프레스 이매점,08:00~14:00,"시급8,720",01/30
경기 성남시, 홈플러스 익스프레스 푸른마을점,17:00~23:00,"월급1,348,630",01/29
서울 서초구, 홈플러스 익스프레스 서초점,08:00~14:00,"월급1,325,000",01/29
서울 송파구, 홈플러스 익스프레스 개롱점,18:00~24:00,"시급8,720",01/27
서울 송파구, 홈플러스 익스프레스 개롱점,18:00~24:00,"시급8,720",01/27
서울 양천구, 홈플러스 익스프레스 목동점,07:00~13:00,"시급8,720",01/26
경기 성남시, 홈플러스 익스프레스 분당판교점,17:00~24:00,"시급8,720",01/26
경기 용인시, 홈플러스 익스프레스 용인구성점,16:00~22:00,"시급8,720",01/25
경기 군포시, 홈플러스 익스프레스 군포부곡점,13:00~19:00,"시급8,720",01/24
경기 평택시, 홈플러스 익스프레스 평택청북점,08:00~14:00,"시급8,720",01/24
경기 성남시, 홈플러스 익스프레스 이매점,08:00~14:00,"시급8,720",01/23
경기 안양시, 홈플러스 익스프레스 안양점,시간협의,"시급8,720",01/21
경기 성남시, 홈플러스 익스프레스 분당판교점,17:00~24:00,"시급8,720",01/19
서울 서초구, 홈플러스 익스프레스 서초점,08:00~14:00,"월급1,325,000",01/19
서울 종로구, 홈플러스 익스프레스 명륜점,17:00~24:00,"시급8,720",01/18
